"","Name","ID","Description","Gene Width","Sum of Exon Widths","Number of Exons","Class","InterPro Accession"
"ENSG00000272886.6","DCP1A","ENSG00000272886.6","decapping mRNA 1A",64158,10426,41,"protein_coding","IPR010334"
"ENSG00000157388.20","CACNA1D","ENSG00000157388.20","calcium voltage-gated channel subunit alpha1 D",484771,100876,570,"protein_coding","IPR002077"
"ENSG00000016391.11","CHDH","ENSG00000016391.11","choline dehydrogenase",34085,8890,15,"protein_coding","IPR000172"
"ENSG00000056736.10","IL17RB","ENSG00000056736.10","interleukin 17 receptor B",19227,5886,31,"protein_coding","IPR013568"
"ENSG00000113812.14","ACTR8","ENSG00000113812.14","actin related protein 8",15087,8780,44,"protein_coding","IPR004000"
"ENSG00000113811.12","SELENOK","ENSG00000113811.12","selenoprotein K",7469,3022,15,"protein_coding","IPR024491"
"ENSG00000157445.16","CACNA2D3","ENSG00000157445.16","calcium voltage-gated channel auxiliary subunit alpha2delta 3",952006,17175,172,"protein_coding","IPR002035"
"ENSG00000144771.8","LRTM1","ENSG00000144771.8","leucine rich repeats and transmembrane domains 1",48858,2732,6,"protein_coding","IPR000483"
"ENSG00000114251.15","WNT5A","ENSG00000114251.15","Wnt family member 5A",24825,15816,26,"protein_coding","IPR005817"
"ENSG00000187672.15","ERC2","ENSG00000187672.15","ELKS/RAB6-interacting/CAST family member 2",960785,27921,81,"protein_coding","IPR019323"
"ENSG00000180376.17","CCDC66","ENSG00000180376.17","coiled-coil domain containing 66",64677,32831,165,"protein_coding","IPR039183"
"ENSG00000163946.14","TASOR","ENSG00000163946.14","transcription activation suppressor",63134,37501,121,"protein_coding","IPR046432"
"ENSG00000163947.12","ARHGEF3","ENSG00000163947.12","Rho guanine nucleotide exchange factor 3",351912,25097,123,"protein_coding","IPR000219"
"ENSG00000186451.2","SPATA12","ENSG00000186451.2","spermatogenesis associated 12",14769,2190,2,"protein_coding",""
"ENSG00000144730.19","IL17RD","ENSG00000144730.19","interleukin 17 receptor D",80325,19321,64,"protein_coding","IPR013568"
"ENSG00000163666.10","HESX1","ENSG00000163666.10","HESX homeobox 1",29769,3699,17,"protein_coding","IPR001356"
"ENSG00000157500.12","APPL1","ENSG00000157500.12","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",50380,14597,96,"protein_coding",""
"ENSG00000239388.10","ASB14","ENSG00000239388.10","ankyrin repeat and SOCS box containing 14",24344,4096,14,"protein_coding","IPR001496"
"ENSG00000174844.15","DNAH12","ENSG00000174844.15","dynein axonemal heavy chain 12",250646,32301,203,"protein_coding","IPR003593"
"ENSG00000174840.9","PDE12","ENSG00000174840.9",NA,10575,11820,5,"protein_coding",NA
"ENSG00000168374.11","ARF4","ENSG00000168374.11","ADP ribosylation factor 4",26858,8844,38,"protein_coding","IPR005225"
"ENSG00000174839.13","DENND6A","ENSG00000174839.13","DENN domain containing 6A",67624,6808,42,"protein_coding","IPR018307"
"ENSG00000163681.17","SLMAP","ENSG00000163681.17","sarcolemma associated protein",174554,156584,658,"protein_coding","IPR000253"
"ENSG00000136068.16","FLNB","ENSG00000136068.16","filamin B",163854,136473,567,"protein_coding",""
"ENSG00000163687.14","DNASE1L3","ENSG00000163687.14","deoxyribonuclease 1L3",22441,7459,41,"protein_coding","IPR005135"
"ENSG00000163686.15","ABHD6","ENSG00000163686.15","abhydrolase domain containing 6, acylglycerol lipase",58162,7586,39,"protein_coding","IPR000073"
"ENSG00000163684.12","RPP14","ENSG00000163684.12","ribonuclease P/MRP subunit p14",18451,14039,30,"protein_coding","IPR002759"
"ENSG00000255154.9","HTD2","ENSG00000255154.9","hydroxyacyl-thioester dehydratase type 2",13932,8976,35,"protein_coding",""
"ENSG00000168297.16","PXK","ENSG00000168297.16","PX domain containing serine/threonine kinase like",93248,26335,185,"protein_coding","IPR000719"
"ENSG00000168291.13","PDHB","ENSG00000168291.13","pyruvate dehydrogenase E1 subunit beta",6228,15372,78,"protein_coding","IPR005475"
"ENSG00000168301.13","KCTD6","ENSG00000168301.13","potassium channel tetramerization domain containing 6",10265,7185,17,"protein_coding","IPR000210"
"ENSG00000168306.13","ACOX2","ENSG00000168306.13","acyl-CoA oxidase 2",32148,12095,76,"protein_coding","IPR002655"
"ENSG00000168309.18","FAM107A","ENSG00000168309.18","family with sequence similarity 107 member A",63494,17538,34,"protein_coding","IPR009533"
"ENSG00000198643.7","FAM3D","ENSG00000198643.7","FAM3 metabolism regulating signaling molecule D",32889,3689,39,"protein_coding","IPR039220"
"ENSG00000163689.21","CFAP20DC","ENSG00000163689.21","CFAP20 domain containing",332720,19727,98,"protein_coding",""
"ENSG00000189283.11","FHIT","ENSG00000189283.11","fragile histidine triad diadenosine triphosphatase",1504183,11420,51,"protein_coding","IPR011146"
"ENSG00000144724.20","PTPRG","ENSG00000144724.20","protein tyrosine phosphatase receptor type G",736041,23925,90,"protein_coding","IPR000242"
"ENSG00000114405.11","CEP15","ENSG00000114405.11","centrosomal protein 15",17199,10327,37,"protein_coding","IPR028006"
"ENSG00000153266.13","FEZF2","ENSG00000153266.13","FEZ family zinc finger 2",4644,6031,15,"protein_coding","IPR013087"
"ENSG00000163618.18","CADPS","ENSG00000163618.18","calcium dependent secretion activator",477071,42929,193,"protein_coding","IPR000008"
"ENSG00000163630.11","SYNPR","ENSG00000163630.11","synaptoporin",388610,18572,71,"protein_coding","IPR001285"
"ENSG00000188817.8","SNTN","ENSG00000188817.8","sentan, cilia apical structure protein",26346,5828,13,"protein_coding","IPR011992"
"ENSG00000163632.15","C3orf49","ENSG00000163632.15","chromosome 3 open reading frame 49",29338,4132,21,"protein_coding",""
"ENSG00000163634.12","THOC7","ENSG00000163634.12","THO complex subunit 7",29999,4601,41,"protein_coding","IPR008501"
"ENSG00000163635.20","ATXN7","ENSG00000163635.20","ataxin 7",140308,43852,114,"protein_coding","IPR013243"
"ENSG00000163636.11","PSMD6","ENSG00000163636.11","proteasome 26S subunit, non-ATPase 6",13461,18227,67,"protein_coding","IPR000717"
"ENSG00000163637.13","PRICKLE2","ENSG00000163637.13","prickle planar cell polarity protein 2",353241,39751,45,"protein_coding","IPR001781"
"ENSG00000163638.13","ADAMTS9","ENSG00000163638.13","ADAM metallopeptidase with thrombospondin type 1 motif 9",172347,32987,173,"protein_coding","IPR000884"
"ENSG00000151276.24","MAGI1","ENSG00000151276.24","membrane associated guanylate kinase, WW and PDZ domain containing 1",685394,56281,254,"protein_coding","IPR001202"
"ENSG00000144741.19","SLC25A26","ENSG00000144741.19","solute carrier family 25 member 26",254507,52977,196,"protein_coding","IPR018108"
"ENSG00000144749.14","LRIG1","ENSG00000144749.14","leucine rich repeats and immunoglobulin like domains 1",122467,19891,83,"protein_coding","IPR000372"
"ENSG00000163376.11","KBTBD8","ENSG00000163376.11","kelch repeat and BTB domain containing 8",12904,7356,13,"protein_coding","IPR000210"
"ENSG00000172340.15","SUCLG2","ENSG00000172340.15","succinate-CoA ligase GDP-forming subunit beta",294153,6974,37,"protein_coding","IPR005809"
"ENSG00000183662.12","TAFA1","ENSG00000183662.12","TAFA chemokine like family member 1",541375,4544,14,"protein_coding","IPR020350"
"ENSG00000163377.16","TAFA4","ENSG00000163377.16","TAFA chemokine like family member 4",221532,4131,17,"protein_coding","IPR020350"
"ENSG00000163378.14","EOGT","ENSG00000163378.14","EGF domain specific O-linked N-acetylglucosamine transferase",38468,21506,100,"protein_coding","IPR007657"
"ENSG00000144747.17","TMF1","ENSG00000144747.17","TATA element modulatory factor 1",32513,23500,73,"protein_coding","IPR022091"
"ENSG00000144744.18","UBA3","ENSG00000144744.18","ubiquitin like modifier activating enzyme 3",25679,13012,107,"protein_coding","IPR000594"
"ENSG00000144746.7","ARL6IP5","ENSG00000144746.7","ADP ribosylation factor like GTPase 6 interacting protein 5",21156,5101,15,"protein_coding","IPR004895"
"ENSG00000163380.16","LMOD3","ENSG00000163380.16","leiomodin 3",16968,9381,11,"protein_coding","IPR004934"
"ENSG00000114541.15","FRMD4B","ENSG00000114541.15","FERM domain containing 4B",373802,21026,124,"protein_coding","IPR000299"
"ENSG00000187098.18","MITF","ENSG00000187098.18","melanocyte inducing transcription factor",228881,43232,162,"protein_coding","IPR011598"
"ENSG00000242120.4","MDFIC2","ENSG00000242120.4","MyoD family inhibitor domain containing 2",118160,3105,4,"protein_coding","IPR026134"
"ENSG00000114861.24","FOXP1","ENSG00000114861.24","forkhead box P1",629286,128833,740,"protein_coding","IPR001766"
"ENSG00000285708.1","ENSG00000285708","ENSG00000285708.1","novel protein",795004,6329,53,"protein_coding","IPR001766"
"ENSG00000163412.13","EIF4E3","ENSG00000163412.13","eukaryotic translation initiation factor 4E family member 3",79360,28734,66,"protein_coding","IPR001040"
"ENSG00000170837.3","GPR27","ENSG00000170837.3","G protein-coupled receptor 27",2642,2642,1,"protein_coding","IPR000276"
"ENSG00000163421.9","PROK2","ENSG00000163421.9","prokineticin 2",13552,3104,7,"protein_coding","IPR009523"
"ENSG00000163602.12","RYBP","ENSG00000163602.12","RING1 and YY1 binding protein",74797,19216,13,"protein_coding","IPR001876"
"ENSG00000144736.14","SHQ1","ENSG00000144736.14","SHQ1, H/ACA ribonucleoprotein assembly factor",112638,13634,51,"protein_coding",""
"ENSG00000172986.13","GXYLT2","ENSG00000172986.13","glucoside xylosyltransferase 2",110093,4524,14,"protein_coding","IPR002495"
"ENSG00000163605.16","PPP4R2","ENSG00000163605.16","protein phosphatase 4 regulatory subunit 2",72396,14049,47,"protein_coding",""
"ENSG00000255423.1","EBLN2","ENSG00000255423.1","endogenous Bornavirus like nucleoprotein 2",1679,1679,1,"protein_coding","IPR009441"
"ENSG00000121440.15","PDZRN3","ENSG00000121440.15","PDZ domain containing ring finger 3",242511,20620,74,"protein_coding","IPR001478"
"ENSG00000113805.9","CNTN3","ENSG00000113805.9","contactin 3",352092,5829,26,"protein_coding","IPR003598"
"ENSG00000172969.8","FRG2C","ENSG00000172969.8","FSHD region gene 2 family member C",2893,4108,8,"protein_coding","IPR026245"
"ENSG00000227124.11","ZNF717","ENSG00000227124.11","zinc finger protein 717",106924,14055,38,"protein_coding","IPR001909"
"ENSG00000185008.19","ROBO2","ENSG00000185008.19","roundabout guidance receptor 2",1743270,97122,401,"protein_coding","IPR003598"
"ENSG00000169855.21","ROBO1","ENSG00000169855.21","roundabout guidance receptor 1",1170760,41887,194,"protein_coding","IPR003598"
"ENSG00000114480.13","GBE1","ENSG00000114480.13","1,4-alpha-glucan branching enzyme 1",271943,8213,43,"protein_coding","IPR004193"
"ENSG00000175161.14","CADM2","ENSG00000175161.14","cell adhesion molecule 2",1115441,13773,34,"protein_coding","IPR003585"
"ENSG00000206538.9","VGLL3","ENSG00000206538.9","vestigial like family member 3",114762,14777,17,"protein_coding",""
"ENSG00000083937.10","CHMP2B","ENSG00000083937.10","charged multivesicular body protein 2B",28286,27115,49,"protein_coding","IPR005024"
"ENSG00000064835.12","POU1F1","ENSG00000064835.12","POU class 1 homeobox 1",17181,4351,21,"protein_coding","IPR000327"
"ENSG00000179097.7","HTR1F","ENSG00000179097.7","5-hydroxytryptamine receptor 1F",201134,3386,3,"protein_coding","IPR000276"
"ENSG00000163320.12","CGGBP1","ENSG00000163320.12","CGG triplet repeat binding protein 1",97942,17638,20,"protein_coding","IPR033375"
"ENSG00000288654.1","ENSG00000288654","ENSG00000288654.1","novel protein",78,78,1,"protein_coding",""
"ENSG00000175105.8","ZNF654","ENSG00000175105.8","zinc finger protein 654",85406,8385,20,"protein_coding","IPR013087"
"ENSG00000179021.10","C3orf38","ENSG00000179021.10","chromosome 3 open reading frame 38",18771,4692,10,"protein_coding","IPR026698"
"ENSG00000283434.2","CSNKA2IP","ENSG00000283434.2","casein kinase 2 subunit alpha' interacting protein",129179,5198,16,"protein_coding","IPR038954"
"ENSG00000044524.11","EPHA3","ENSG00000044524.11","EPH receptor A3",374514,11343,41,"protein_coding","IPR000719"
"ENSG00000184500.16","PROS1","ENSG00000184500.16","protein S",106953,26722,138,"protein_coding","IPR000152"
"ENSG00000169379.17","ARL13B","ENSG00000169379.17","ADP ribosylation factor like GTPase 13B",75540,79455,235,"protein_coding","IPR006689"
"ENSG00000178750.3","STX19","ENSG00000178750.3","syntaxin 19",14233,1149,2,"protein_coding","IPR000727"
"ENSG00000178700.9","DHFR2","ENSG00000178700.9","dihydrofolate reductase 2",15554,12445,15,"protein_coding","IPR001796"
"ENSG00000178694.10","NSUN3","ENSG00000178694.10","NOP2/Sun RNA methyltransferase 3",68853,11534,28,"protein_coding",""
"ENSG00000080224.18","EPHA6","ENSG00000080224.18","EPH receptor A6",946952,27627,94,"protein_coding","IPR001090"
"ENSG00000113966.11","ARL6","ENSG00000113966.11","ADP ribosylation factor like GTPase 6",36709,11929,58,"protein_coding","IPR005225"
"ENSG00000080200.10","CRYBG3","ENSG00000080200.10","crystallin beta-gamma domain containing 3",122974,12609,33,"protein_coding","IPR000772"
"ENSG00000170854.18","RIOX2","ENSG00000170854.18","ribosomal oxygenase 2",30640,17830,54,"protein_coding","IPR003347"
"ENSG00000183185.10","GABRR3","ENSG00000183185.10","gamma-aminobutyric acid type A receptor subunit rho3",50214,7939,16,"protein_coding","IPR006028"
"ENSG00000213439.3","OR5AC1","ENSG00000213439.3","olfactory receptor family 5 subfamily AC member 1 (gene/pseudogene)",925,925,1,"protein_coding",""
"ENSG00000196578.4","OR5AC2","ENSG00000196578.4","olfactory receptor family 5 subfamily AC member 2",930,930,1,"protein_coding","IPR000276"
"ENSG00000231192.3","OR5H1","ENSG00000231192.3","olfactory receptor family 5 subfamily H member 1",7828,5999,2,"protein_coding","IPR000276"
"ENSG00000236032.3","OR5H14","ENSG00000236032.3","olfactory receptor family 5 subfamily H member 14",9136,8403,3,"protein_coding","IPR000276"
"ENSG00000233412.6","OR5H15","ENSG00000233412.6","olfactory receptor family 5 subfamily H member 15",3079,1229,2,"protein_coding","IPR000276"
"ENSG00000230301.6","OR5H6","ENSG00000230301.6","olfactory receptor family 5 subfamily H member 6",2105,3123,4,"protein_coding","IPR000276"
"ENSG00000197938.6","OR5H2","ENSG00000197938.6","olfactory receptor family 5 subfamily H member 2",1566,1566,1,"protein_coding","IPR000276"
"ENSG00000232535.2","OR5H8","ENSG00000232535.2","olfactory receptor family 5 subfamily H member 8 (gene/pseudogene)",6092,1045,2,"protein_coding",""
"ENSG00000196098.2","OR5K4","ENSG00000196098.2","olfactory receptor family 5 subfamily K member 4",966,966,1,"protein_coding","IPR000276"
"ENSG00000206536.1","OR5K3","ENSG00000206536.1","olfactory receptor family 5 subfamily K member 3",966,966,1,"protein_coding","IPR000276"
"ENSG00000232382.2","OR5K1","ENSG00000232382.2","olfactory receptor family 5 subfamily K member 1",9724,4563,3,"protein_coding","IPR000276"
"ENSG00000231861.3","OR5K2","ENSG00000231861.3","olfactory receptor family 5 subfamily K member 2",951,951,1,"protein_coding","IPR000276"
"ENSG00000080822.17","CLDND1","ENSG00000080822.17","claudin domain containing 1",25155,31803,150,"protein_coding","IPR042356"
"ENSG00000285635.1","ENSG00000285635","ENSG00000285635.1","novel transcript",64366,592,4,"protein_coding",""
"ENSG00000154165.5","GPR15","ENSG00000154165.5","G protein-coupled receptor 15",2704,2704,1,"protein_coding","IPR000276"
"ENSG00000080819.9","CPOX","ENSG00000080819.9","coproporphyrinogen oxidase",14203,5091,16,"protein_coding","IPR001260"
"ENSG00000064225.13","ST3GAL6","ENSG00000064225.13","ST3 beta-galactoside alpha-2,3-sialyltransferase 6",88966,33452,176,"protein_coding","IPR001675"
"ENSG00000057019.16","DCBLD2","ENSG00000057019.16","discoidin, CUB and LCCL domain containing 2",105755,18595,65,"protein_coding","IPR000421"
"ENSG00000144810.16","COL8A1","ENSG00000144810.16","collagen type VIII alpha 1 chain",160752,20683,36,"protein_coding",""
"ENSG00000184220.12","CMSS1","ENSG00000184220.12","cms1 ribosomal small subunit homolog",363896,11203,56,"protein_coding","IPR027417"
"ENSG00000168386.19","FILIP1L","ENSG00000168386.19","filamin A interacting protein 1 like",285703,27792,38,"protein_coding","IPR019131"
"ENSG00000036054.13","TBC1D23","ENSG00000036054.13","TBC1 domain family member 23",64260,18161,93,"protein_coding","IPR000195"
"ENSG00000114021.12","NIT2","ENSG00000114021.12","nitrilase family member 2",26897,13005,46,"protein_coding","IPR003010"
"ENSG00000154174.8","TOMM70","ENSG00000154174.8","translocase of outer mitochondrial membrane 70",37659,5660,16,"protein_coding","IPR011990"
"ENSG00000206535.8","LNP1","ENSG00000206535.8","leukemia NUP98 fusion partner 1",54788,5400,12,"protein_coding","IPR029280"
"ENSG00000181458.10","TMEM45A","ENSG00000181458.10","transmembrane protein 45A",84826,10409,30,"protein_coding","IPR006904"
"ENSG00000144820.8","ADGRG7","ENSG00000144820.8","adhesion G protein-coupled receptor G7",85879,8328,37,"protein_coding","IPR000203"
"ENSG00000114354.15","TFG","ENSG00000114354.15","trafficking from ER to golgi regulator",39670,75895,292,"protein_coding","IPR000270"
"ENSG00000154175.19","ABI3BP","ENSG00000154175.19","ABI family member 3 binding protein",244360,49452,494,"protein_coding","IPR003961"
"ENSG00000081148.12","IMPG2","ENSG00000081148.12","interphotoreceptor matrix proteoglycan 2",98030,8352,19,"protein_coding","IPR000082"
"ENSG00000138468.16","SENP7","ENSG00000138468.16","SUMO specific peptidase 7",189037,24870,125,"protein_coding","IPR003653"
"ENSG00000174173.7","TRMT10C","ENSG00000174173.7","tRNA methyltransferase 10C, mitochondrial RNase P subunit",4579,2830,4,"protein_coding","IPR007356"
"ENSG00000081154.12","PCNP","ENSG00000081154.12","PEST proteolytic signal containing nuclear protein",20286,9502,31,"protein_coding","IPR029169"
"ENSG00000066422.7","ZBTB11","ENSG00000066422.7","zinc finger and BTB domain containing 11",28247,61376,102,"protein_coding","IPR000210"
"ENSG00000114391.14","RPL24","ENSG00000114391.14","ribosomal protein L24",5643,13953,49,"protein_coding","IPR000988"
"ENSG00000293268.2","ENSG00000293268","ENSG00000293268.2","endogenous retrovirus group K member 5",26475,29288,9,"protein_coding","IPR001878"
"ENSG00000182504.12","CEP97","ENSG00000182504.12","centrosomal protein 97",46029,90637,156,"protein_coding",""
"ENSG00000144815.18","NXPE3","ENSG00000144815.18","neurexophilin and PC-esterase domain family member 3",64567,143462,253,"protein_coding","IPR014756"
"ENSG00000144802.11","NFKBIZ","ENSG00000144802.11","NFKB inhibitor zeta",33032,17002,72,"protein_coding",""
"ENSG00000170044.9","ZPLD1","ENSG00000170044.9","zona pellucida like domain containing 1",380598,10064,44,"protein_coding","IPR001507"
"ENSG00000170017.12","ALCAM","ENSG00000170017.12","activated leukocyte cell adhesion molecule",209992,20408,86,"protein_coding","IPR003598"
"ENSG00000114423.23","CBLB","ENSG00000114423.23","Cbl proto-oncogene B",214092,47105,191,"protein_coding","IPR001841"
"ENSG00000138483.3","CCDC54","ENSG00000138483.3","coiled-coil domain containing 54",1197,1197,1,"protein_coding","IPR037758"
"ENSG00000114439.19","BBX","ENSG00000114439.19","BBX high mobility group box domain containing",288404,41250,188,"protein_coding","IPR009071"
"ENSG00000196776.17","CD47","ENSG00000196776.17","CD47 molecule",48772,19089,40,"protein_coding","IPR006704"
"ENSG00000114446.5","IFT57","ENSG00000114446.5","intraflagellar transport 57",61624,6047,28,"protein_coding","IPR019530"
"ENSG00000114455.15","HHLA2","ENSG00000114455.15","HHLA2 member of B7 family",81757,14791,71,"protein_coding","IPR013106"
"ENSG00000144821.11","MYH15","ENSG00000144821.11","myosin heavy chain 15",148955,24041,137,"protein_coding","IPR001609"
"ENSG00000163507.15","CIP2A","ENSG00000163507.15","cellular inhibitor of PP2A",39781,14033,87,"protein_coding","IPR011989"
"ENSG00000198919.13","DZIP3","ENSG00000198919.13","DAZ interacting zinc finger protein 3",105136,18071,124,"protein_coding","IPR001841"
"ENSG00000163515.7","RETNLB","ENSG00000163515.7","resistin like beta",13987,1212,8,"protein_coding","IPR009714"
"ENSG00000163519.14","TRAT1","ENSG00000163519.14","T cell receptor associated transmembrane adaptor 1",32236,5173,21,"protein_coding","IPR020399"
"ENSG00000138472.11","GUCA1C","ENSG00000138472.11","guanylate cyclase activator 1C",46088,2510,11,"protein_coding","IPR002048"
"ENSG00000114487.10","MORC1","ENSG00000114487.10","MORC family CW-type zinc finger 1",159887,6803,55,"protein_coding","IPR011124"
"ENSG00000241224.8","C3orf85","ENSG00000241224.8","chromosome 3 open reading frame 85",33150,6890,20,"protein_coding",""
"ENSG00000163530.4","DPPA2","ENSG00000163530.4","developmental pluripotency associated 2",22730,1383,9,"protein_coding","IPR003034"
"ENSG00000121570.13","DPPA4","ENSG00000121570.13","developmental pluripotency associated 4",11403,10679,35,"protein_coding","IPR025891"
"ENSG00000177707.11","NECTIN3","ENSG00000177707.11","nectin cell adhesion molecule 3",205493,13280,45,"protein_coding",""
"ENSG00000153283.13","CD96","ENSG00000153283.13",NA,373032,13796,63,"protein_coding",NA
"ENSG00000177494.6","ZBED2","ENSG00000177494.6","zinc finger BED-type containing 2",2447,2214,2,"protein_coding","IPR003656"
"ENSG00000240891.8","PLCXD2","ENSG00000240891.8","phosphatidylinositol specific phospholipase C X domain containing 2",171772,12895,18,"protein_coding","IPR000909"
"ENSG00000144824.21","PHLDB2","ENSG00000144824.21","pleckstrin homology like domain family B member 2",244021,57021,175,"protein_coding","IPR001849"
"ENSG00000144827.9","ABHD10","ENSG00000144827.9","abhydrolase domain containing 10, depalmitoylase",14359,6358,20,"protein_coding",""
"ENSG00000144834.14","TAGLN3","ENSG00000144834.14","transgelin 3",15149,7264,27,"protein_coding","IPR000557"
"ENSG00000176040.14","TMPRSS7","ENSG00000176040.14","transmembrane serine protease 7",46534,10758,71,"protein_coding","IPR000082"
"ENSG00000114529.13","C3orf52","ENSG00000114529.13","chromosome 3 open reading frame 52",44670,11277,32,"protein_coding","IPR033223"
"ENSG00000174500.13","GCSAM","ENSG00000174500.13","germinal center associated signaling and motility",12432,8766,42,"protein_coding","IPR031364"
"ENSG00000172139.15","SLC9C1","ENSG00000172139.15","solute carrier family 9 member C1",153330,12253,89,"protein_coding","IPR000595"
"ENSG00000091972.19","CD200","ENSG00000091972.19","CD200 molecule",30947,45103,110,"protein_coding",""
"ENSG00000186265.10","BTLA","ENSG00000186265.10",NA,35507,4939,14,"protein_coding",NA
"ENSG00000144848.11","ATG3","ENSG00000144848.11","autophagy related 3",29537,11967,62,"protein_coding","IPR007135"
"ENSG00000138459.9","SLC35A5","ENSG00000138459.9","solute carrier family 35 member A5",23871,10725,40,"protein_coding","IPR007271"
"ENSG00000091986.16","CCDC80","ENSG00000091986.16","coiled-coil domain containing 80",52734,20200,36,"protein_coding","IPR025232"
"ENSG00000206531.12","CD200R1L","ENSG00000206531.12","CD200 receptor 1 like",31156,4276,22,"protein_coding","IPR007110"
"ENSG00000163606.11","CD200R1","ENSG00000163606.11","CD200 receptor 1",53899,10761,26,"protein_coding","IPR007110"
"ENSG00000163607.18","GTPBP8","ENSG00000163607.18","GTP binding protein 8 (putative)",24077,8941,38,"protein_coding","IPR006073"
"ENSG00000163608.15","NEPRO","ENSG00000163608.15","nucleolus and neural progenitor protein",17418,34347,124,"protein_coding","IPR027951"
"ENSG00000144857.15","BOC","ENSG00000144857.15","BOC cell adhesion associated, oncogene regulated",76457,38549,150,"protein_coding","IPR007110"
"ENSG00000206530.11","CFAP44","ENSG00000206530.11","cilia and flagella associated protein 44",154681,27650,113,"protein_coding",""
"ENSG00000285943.1","ENSG00000285943","ENSG00000285943.1","novel protein",153251,6837,39,"protein_coding",""
"ENSG00000163611.11","SPICE1","ENSG00000163611.11","spindle and centriole associated protein 1",72470,12253,54,"protein_coding","IPR031387"
"ENSG00000072858.11","SIDT1","ENSG00000072858.11",NA,97021,15013,94,"protein_coding",NA
"ENSG00000176542.10","USF3","ENSG00000176542.10","upstream transcription factor family member 3",48262,32695,22,"protein_coding","IPR011598"
"ENSG00000121579.14","NAA50","ENSG00000121579.14","N-alpha-acetyltransferase 50, NatE catalytic subunit",29843,14285,41,"protein_coding","IPR000182"
"ENSG00000114573.12","ATP6V1A","ENSG00000114573.12","ATPase H+ transporting V1 subunit A",65287,33060,144,"protein_coding","IPR000194"
"ENSG00000178075.20","GRAMD1C","ENSG00000178075.20","GRAM domain containing 1C",118993,22568,118,"protein_coding","IPR004182"
"ENSG00000184307.17","ZDHHC23","ENSG00000184307.17","zinc finger DHHC-type palmitoyltransferase 23",17501,21982,31,"protein_coding","IPR001594"
"ENSG00000163617.11","CCDC191","ENSG00000163617.11","coiled-coil domain containing 191",92458,13624,68,"protein_coding","IPR052270"
"ENSG00000151576.10","QTRT2","ENSG00000151576.10","queuine tRNA-ribosyltransferase accessory subunit 2",82590,19866,72,"protein_coding","IPR002616"
"ENSG00000151577.14","DRD3","ENSG00000151577.14","dopamine receptor D3",71828,10270,39,"protein_coding",""
"ENSG00000174255.8","ZNF80","ENSG00000174255.8","zinc finger protein 80",2948,5503,3,"protein_coding","IPR013087"
"ENSG00000181847.12","TIGIT","ENSG00000181847.12","T cell immunoreceptor with Ig and ITIM domains",33376,11752,26,"protein_coding","IPR003599"
"ENSG00000181722.18","ZBTB20","ENSG00000181722.18","zinc finger and BTB domain containing 20",832793,95356,177,"protein_coding","IPR000210"
"ENSG00000172020.13","GAP43","ENSG00000172020.13","growth associated protein 43",97981,3399,7,"protein_coding","IPR000048"
"ENSG00000185565.13","LSAMP","ENSG00000185565.13",NA,1337016,13452,35,"protein_coding",NA
"ENSG00000144847.13","IGSF11","ENSG00000144847.13","immunoglobulin superfamily member 11",245512,19802,64,"protein_coding","IPR003598"
"ENSG00000163424.9","TEX55","ENSG00000163424.9","testis expressed 55",13892,6856,14,"protein_coding","IPR040760"
"ENSG00000251012.2","ENSG00000251012","ENSG00000251012.2","novel chromosome 3 open reading frame 30 (C3orf30) and uroplakin 1B (UPK1B)",40433,246,2,"protein_coding","IPR040760"
"ENSG00000114638.8","UPK1B","ENSG00000114638.8","uroplakin 1B",31627,6303,35,"protein_coding","IPR008952"
"ENSG00000121578.13","B4GALT4","ENSG00000121578.13","beta-1,4-galactosyltransferase 4",29215,24338,99,"protein_coding","IPR003859"
"ENSG00000031081.11","ARHGAP31","ENSG00000031081.11","Rho GTPase activating protein 31",126332,9858,18,"protein_coding","IPR000198"
"ENSG00000176142.13","TMEM39A","ENSG00000176142.13","transmembrane protein 39A",39882,18962,59,"protein_coding",""
"ENSG00000163389.12","POGLUT1","ENSG00000163389.12","protein O-glucosyltransferase 1",25746,15086,62,"protein_coding","IPR006598"
"ENSG00000113845.10","TIMMDC1","ENSG00000113845.10","translocase of inner mitochondrial membrane domain containing 1",26544,8229,39,"protein_coding",""
"ENSG00000121594.12","CD80","ENSG00000121594.12","CD80 molecule",35322,5736,19,"protein_coding","IPR003599"
"ENSG00000144843.12","ADPRH","ENSG00000144843.12","ADP-ribosylarginine hydrolase",10678,14097,25,"protein_coding","IPR005502"
"ENSG00000144837.9","PLA1A","ENSG00000144837.9","phospholipase A1 member A",31937,7763,52,"protein_coding","IPR000734"
"ENSG00000121577.14","POPDC2","ENSG00000121577.14","popeye domain containing 2",28868,10332,34,"protein_coding",""
"ENSG00000138495.7","COX17","ENSG00000138495.7","cytochrome c oxidase copper chaperone COX17",22942,3620,24,"protein_coding",""
"ENSG00000183833.16","CFAP91","ENSG00000183833.16","cilia and flagella associated protein 91",64081,25575,133,"protein_coding","IPR026720"
"ENSG00000285585.1","ENSG00000285585","ENSG00000285585.1","novel protein",104495,2670,18,"protein_coding","IPR026720"
"ENSG00000144852.20","NR1I2","ENSG00000144852.20","nuclear receptor subfamily 1 group I member 2",38004,13537,36,"protein_coding","IPR000536"
